"Table 1. Number of Votes Cast, Citizen Voting-Age Population and Voting Rates for Congressional Districts: 2018",,,,,,,,
"[Table with column headings in rows 3 and 4, and row headings in columns A, B, C, and D. Columns E, F, and G are in persons, columns H and I are in percent.]",,,,,,,,
Line #,State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election1",Citizen voting- age population2,,Voting rate3,
,,,,,Estimate,Margin of error (MOE),Estimate,Margin of error (MOE)
119,GA,Georgia,4,288809,527938,10870,54.7050979471074,1.12635274347567
120,GA,Georgia,5,275406,587385,11293,46.886794861973,0.901440408550203
121,GA,Georgia,6,317032,496468,9646,63.8574893044466,1.24070300972206
122,GA,Georgia,7,280441,486845,13303,57.603754788485,1.57401791114465
123,GA,Georgia,8,198716,527338,5981,37.6828523641384,0.427394081196333
124,GA,Georgia,9,282578,556967,6033,50.735142297479,0.549556999751675
125,GA,Georgia,10,302735,565803,9414,53.5053720111063,0.890238425940752
126,GA,Georgia,11,310540,559687,9450,55.4845833474781,0.936825962785751
127,GA,Georgia,12,250492,540482,5219,46.3460392760536,0.447526428228366
128,GA,Georgia,13,293010,523476,12223,55.9739128441419,1.30697326466533
129,GA,Georgia,14,229724,516434,4331,44.4827412602578,0.373048157941144
130,HI,Hawaii,1,191667,509992,8672,37.5823542330076,0.639057428172681
131,HI,Hawaii,2,206990,506514,7345,40.8656029250919,0.592595374431506
132,ID,Idaho,1,315069,661724,6207,47.6133554170621,0.446615351829017
133,ID,Idaho,2,280655,590690,6236,47.5130779258156,0.501602454663844
134,IL,Illinois,1,257885,524114,13385,49.2039899716474,1.25658808154428
135,IL,Illinois,2,235251,497132,10186,47.3216369093118,0.96959800125168
136,IL,Illinois,3,223334,479004,11273,46.624662842064,1.09727648248989
137,IL,Illinois,4,166189,410804,10402,40.4545720100096,1.02435336084391
138,IL,Illinois,5,279131,545831,13594,51.138722425073,1.27361727832688
139,IL,Illinois,6,315446,523796,7397,60.2230639409236,0.850464692305805
140,IL,Illinois,7,246243,522767,13446,47.1037766347149,1.21154812876554
141,IL,Illinois,8,197127,442009,9089,44.5979606750089,0.917064730752441
142,IL,Illinois,9,290351,498242,10167,58.2750952348457,1.1891468267482
143,IL,Illinois,10,238664,468255,7926,50.9688097297413,0.862732455431185
144,IL,Illinois,11,227765,472244,8696,48.2303639643913,0.888124031293879
145,IL,Illinois,12,261543,528398,3128,49.4973485895102,0.293013422435338
146,IL,Illinois,13,270981,539012,6187,50.2736488241449,0.577061485226645
147,IL,Illinois,14,297199,525729,7412,56.5308362293121,0.797001036906203
148,IL,Illinois,15,255608,532371,4362,48.0131336981165,0.393397253402579
149,IL,Illinois,16,255825,520730,4681,49.1281470243696,0.441627822904527
150,IL,Illinois,17,229749,512994,5263,44.7859039287009,0.459475573548137
151,IL,Illinois,18,291413,531334,6741,54.8455397170142,0.695821805554308
