"OHIO, INDIANA, MICHIGAN, MISSOURI, PENNSYLVIANIA, WISCONSIN",,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ","Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],[Money amounts are in thousands of dollars],,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Percentage
,,,,
Michigan,2,"$10,000 under $25,000","67,750",19.29869538
Michigan,2,"$25,000 under $50,000","88,790",25.29197288
Michigan,2,"$50,000 under $75,000","52,060",14.8293739
Michigan,2,"$75,000 under $100,000","34,200",9.741924457
Michigan,2,"$100,000 under $200,000","41,660",11.86691734
Michigan,2,"$200,000 under $500,000","8,130",2.315843446
Michigan,2,"$500,000 or more","1,860",0.529823962
,,,,
Michigan,3,,"348,160",100
Michigan,3,Under $1,"3,530",1.013901654
Michigan,3,"$1 under $10,000","49,290",14.15728401
Michigan,3,"$10,000 under $25,000","66,860",19.20381434
Michigan,3,"$25,000 under $50,000","84,180",24.1785386
Michigan,3,"$50,000 under $75,000","49,490",14.21472886
Michigan,3,"$75,000 under $100,000","32,930",9.458295037
Michigan,3,"$100,000 under $200,000","46,350",13.31284467
Michigan,3,"$200,000 under $500,000","12,270",3.524241728
Michigan,3,"$500,000 or more","3,260",0.936351103
,,,,
Michigan,4,,"316,500",100
Michigan,4,Under $1,"4,460",1.409162717
Michigan,4,"$1 under $10,000","49,000",15.48183254
Michigan,4,"$10,000 under $25,000","67,460",21.31437599
Michigan,4,"$25,000 under $50,000","73,920",23.35545024
Michigan,4,"$50,000 under $75,000","45,220",14.28751975
Michigan,4,"$75,000 under $100,000","29,290",9.254344392
Michigan,4,"$100,000 under $200,000","38,210",12.07266983
Michigan,4,"$200,000 under $500,000","7,430",2.347551343
Michigan,4,"$500,000 or more","1,510",0.477093207
,,,,
Michigan,5,,"319,780",100
Michigan,5,Under $1,"3,460",1.081993871
Michigan,5,"$1 under $10,000","50,810",15.88904872
Michigan,5,"$10,000 under $25,000","82,970",25.94596285
Michigan,5,"$25,000 under $50,000","75,890",23.73194071
Michigan,5,"$50,000 under $75,000","41,710",13.0433423
Michigan,5,"$75,000 under $100,000","26,370",8.246294327
Michigan,5,"$100,000 under $200,000","32,210",10.07254988
Michigan,5,"$200,000 under $500,000","5,330",1.666770905
Michigan,5,"$500,000 or more","1,030",0.322096441
,,,,
Michigan,6,,"336,290",100
Michigan,6,Under $1,"4,280",1.272711053
Michigan,6,"$1 under $10,000","51,060",15.18332392
Michigan,6,"$10,000 under $25,000","67,390",20.03925184
Michigan,6,"$25,000 under $50,000","79,730",23.7087038
Michigan,6,"$50,000 under $75,000","47,980",14.26744774
Michigan,6,"$75,000 under $100,000","31,220",9.283653989
Michigan,6,"$100,000 under $200,000","42,130",12.52787772
Michigan,6,"$200,000 under $500,000","10,170",3.024175563
Michigan,6,"$500,000 or more","2,330",0.692854382
,,,,
Michigan,7,,"333,880",100
Michigan,7,Under $1,"3,880",1.162094166
Michigan,7,"$1 under $10,000","46,810",14.02000719
Michigan,7,"$10,000 under $25,000","62,330",18.66838385
Michigan,7,"$25,000 under $50,000","76,130",22.80160537
Michigan,7,"$50,000 under $75,000","49,650",14.8706122
Michigan,7,"$75,000 under $100,000","34,940",10.46483767
Michigan,7,"$100,000 under $200,000","49,030",14.68491674
Michigan,7,"$200,000 under $500,000","9,630",2.884269798
Michigan,7,"$500,000 or more","1,480",0.443273032
,,,,
Michigan,8,,"352,020",100
Michigan,8,Under $1,"3,900",1.107891597
