"November 6, 2018 General Election Official Canvass Ballots Cast",,,,,,,
County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,Turnout Percentage
Ashland,CLEAR CREEK,ABG,Northeast,Cleveland,1295,741,57.2200772200772%
Ashland,GREEN 1,ABI,Northeast,Cleveland,1168,614,52.5684931506849%
Ashland,GREEN 2,ABJ,Northeast,Cleveland,571,356,62.3467600700525%
Ashland,LOUDONVILLE 2,ABN,Northeast,Cleveland,1179,659,55.8948261238338%
Ashland,LOUDONVILLE 1,ABO,Northeast,Cleveland,1373,707,51.4930808448653%
Ashland,JACKSON 1,ABS,Northeast,Cleveland,1077,576,53.4818941504178%
Ashland,JACKSON 2,ABT,Northeast,Cleveland,1300,725,55.7692307692308%
Ashland,LAKE,ABV,Northeast,Cleveland,445,250,56.1797752808989%
Ashland,MILTON 1,ABZ,Northeast,Cleveland,1094,652,59.5978062157221%
Ashland,MILTON 3,ACA,Northeast,Cleveland,541,328,60.6284658040665%
Ashland,JEROMESVILLE,ACB,Northeast,Cleveland,361,174,48.1994459833795%
Ashland,MOHICAN,ACC,Northeast,Cleveland,1039,614,59.0952839268528%
Ashland,MONTGOMERY 1,ACE,Northeast,Cleveland,613,369,60.1957585644372%
Ashland,MONTGOMERY 2,ACF,Northeast,Cleveland,858,500,58.2750582750583%
Ashland,MONTGOMERY 3,ACH,Northeast,Cleveland,572,340,59.4405594405594%
Ashland,ORANGE 1,ACI,Northeast,Cleveland,1103,579,52.4932003626473%
Ashland,ORANGE 2,ACJ,Northeast,Cleveland,620,338,54.5161290322581%
Ashland,PERRY,ACM,Northeast,Cleveland,1302,737,56.605222734255%
Ashland,RUGGLES,ACN,Northeast,Cleveland,632,331,52.373417721519%
Ashland,SULLIVAN 1,ACO,Northeast,Cleveland,897,450,50.1672240802676%
Ashland,SULLIVAN 2,ACP,Northeast,Cleveland,781,382,48.9116517285531%
Ashland,TROY,ACQ,Northeast,Cleveland,812,456,56.1576354679803%
Ashland,VERMILLION 1,ACS,Northeast,Cleveland,871,463,53.1572904707233%
Ashland,VERMILLION 2,ACT,Northeast,Cleveland,1088,655,60.2022058823529%
Ashland,MIFFLIN,ACV,Northeast,Cleveland,949,541,57.0073761854584%
Ashtabula,PRECINCT ASHTABULA 1-A,AAA,Northeast,Cleveland,797,485,60.8531994981179%
Ashtabula,PRECINCT ASHTABULA 1-B,AAB,Northeast,Cleveland,596,394,66.1073825503356%
Ashtabula,PRECINCT ASHTABULA 1-C,AAC,Northeast,Cleveland,712,352,49.438202247191%
